carrier,capacity_mw_built,capacity_mw_anchor,anchor_delta_pct,bus_count,generator_count,bus_load_total_mwh,p_min_pu_mean,p_max_pu_mean,extendable_flag,is_load_shedding_safety_valve
AC,0.0,,,0,0,222351112.3026992,,,False,False
PHS,2904.0,,,2,0,222351112.3026992,,,False,False
battery,20.0,,,1,0,222351112.3026992,,,False,False
biomass,0.0,,,0,0,222351112.3026992,,,False,False
coal,40696.0,,,6,6,222351112.3026992,0.0,1.0,False,False
csp,500.0,,,34,34,222351112.3026992,0.0,0.15347666755150804,False,False
eskom_total,0.0,,,0,0,222351112.3026992,,,False,False
hydro,683.02,,,5,0,222351112.3026992,,,False,False
load shedding,40013.02545353286,,,68,68,222351112.3026992,0.0,1.0,False,False
nuclear,1854.0,,,1,1,222351112.3026992,0.0,0.534,False,False
ocgt_diesel,3419.0,,,5,5,222351112.3026992,0.0,1.0,False,False
ocgt_gas,0.0,,,0,0,222351112.3026992,,,False,False
onwind,3372.92,,,34,34,222351112.3026992,0.0,0.17798989747360003,False,False
other_re,0.0,,,0,0,222351112.3026992,,,False,False
ror,0.0,,,0,0,222351112.3026992,,,False,False
sasol_coal,0.0,,,0,0,222351112.3026992,,,False,False
sasol_gas,0.0,,,0,0,222351112.3026992,,,False,False
solar,2287.81,,,34,34,222351112.3026992,0.0,0.16888828732205913,False,False
total_re,0.0,,,0,0,222351112.3026992,,,False,False
